Production Process,Number of operator/ FTE,Lead Time (Hours),Capex
Wing Fabrication,,,
Wing Elementary Manufacturing,3,8,
Wing Assembly,4,6.25,
wing buffer,,,
Fuselage Fabrication,,,
Fuselage pannel stamping,2,4,
Fuselage NDT,1,7,
fuselage milling,1,10,
paint fuselage,2,32,
Equip motor,,,
Assemble Gas turbine propulsion,2,24,
Buffer Gas turbine propulsion,2,24,
Assemble Fuselage,,,
assemble fuselage short,3,36,
assemble fuselage mixed,3,36,
Fianl assembly short,5,20,
Fianl assembly mixed,5,20,
FAL and Testing,,,
Paint complete aircraft externally,3,20,
Dry paint,3,20,
in flight test,3,24,
Deliver Aircraft,5,20,
